trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.05, 'e': 0.5199999999999996}",35,14,-17.944258436194296,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.5149999999999996}",25,15,-40.11732812483469,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.05, 'e': 0.5099999999999996}",20,8,5.470834679240863,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.05, 'e': 0.5049999999999996}",20,8,14.653555856957553,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.05, 'e': 0.49999999999999956}",20,0,-80.79456230558372,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
101,False,"{'a': 0.05, 'e': 0.49499999999999955}",25,13,-11.42797653673996,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.05, 'e': 0.48999999999999955}",20,3,-86.90427542601697,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
103,False,"{'a': 0.05, 'e': 0.48499999999999954}",25,10,0.9007876581631791,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.05, 'e': 0.47999999999999954}",20,7,17.197903939616683,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.05, 'e': 0.47499999999999953}",25,7,-74.12883246991363,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
106,False,"{'a': 0.05, 'e': 0.46999999999999953}",20,5,-9.155853385657839,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.05, 'e': 0.4649999999999995}",20,0,-56.50382753046341,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
108,False,"{'a': 0.05, 'e': 0.4599999999999995}",30,15,-15.02642413732083,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.05, 'e': 0.4549999999999995}",30,10,-79.81354052789156,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
110,False,"{'a': 0.05, 'e': 0.4499999999999995}",25,5,-15.193092702496864,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.4449999999999995}",25,0,5.294220337822624,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
112,False,"{'a': 0.05, 'e': 0.4399999999999995}",25,0,-79.06051229225612,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
113,False,"{'a': 0.05, 'e': 0.4349999999999995}",25,10,-21.487187979977595,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.4299999999999995}",25,11,-6.846999425996328,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.05, 'e': 0.4249999999999995}",25,2,-24.435011568848587,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.05, 'e': 0.4199999999999995}",25,13,14.696518960403525,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.05, 'e': 0.4149999999999995}",25,0,-117.41611438966162,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
118,False,"{'a': 0.05, 'e': 0.4099999999999995}",25,8,-30.256065097914696,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.05, 'e': 0.40499999999999947}",20,0,-118.05280489280518,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
120,False,"{'a': 0.05, 'e': 0.39999999999999947}",30,6,-31.447980608189088,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
121,False,"{'a': 0.05, 'e': 0.39499999999999946}",20,8,2.6880974302588374,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.05, 'e': 0.38999999999999946}",30,11,4.610038760474719,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.05, 'e': 0.38499999999999945}",20,0,-7.810936309997873,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.05, 'e': 0.37999999999999945}",25,8,-50.06602540644344,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.05, 'e': 0.37499999999999944}",30,0,-62.84951701311681,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
126,False,"{'a': 0.05, 'e': 0.36999999999999944}",25,0,-99.67774767099957,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
